Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
07/19/2014 22:05:32	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Debug\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.1.37965	07/19/2014 22:05:32	07/20/2014 03:05:32	26624
07/19/2014 22:29:27	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Debug\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.2.38683	07/19/2014 22:29:27	07/20/2014 03:29:27	26624
07/19/2014 22:39:22	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Debug\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.3.38981	07/19/2014 22:39:22	07/20/2014 03:39:22	26624
07/19/2014 23:01:25	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Debug\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.4.39642	07/19/2014 23:01:25	07/20/2014 04:01:25	26624
07/19/2014 23:04:58	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Release\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.5.39748	07/19/2014 23:04:57	07/20/2014 04:04:57	26112
07/19/2014 23:17:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Debug\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.6.40134	07/19/2014 23:17:48	07/20/2014 04:17:48	26624
07/19/2014 23:26:27	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Debug\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.7.40393	07/19/2014 23:26:26	07/20/2014 04:26:26	26624
07/19/2014 23:30:37	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Release\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.8.40518	07/19/2014 23:30:36	07/20/2014 04:30:36	26624
07/21/2014 12:45:16	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Release\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.9.21157	07/21/2014 12:45:15	07/21/2014 17:45:15	26624
07/21/2014 12:46:29	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\ASCIIInfo\bin\Release\WizardWrx.ASCIIInfo.dll	ASCIIInfo	ASCIIInfo	1.0.10.21194	07/21/2014 12:46:28	07/21/2014 17:46:28	26624
