Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2017/03/27 15:29:30	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.4.26085	2017/03/27 15:29:30	2017/03/27 20:29:30	17408
2017/03/27 16:38:01	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.5.28140	2017/03/27 16:38:01	2017/03/27 21:38:01	17408
2017/03/27 18:11:01	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.8.30930	2017/03/27 18:11:01	2017/03/27 23:11:01	17408
2017/03/27 18:18:58	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Release\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.9.31169	2017/03/27 18:18:58	2017/03/27 23:18:58	16896
2017/03/28 01:21:14	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.10.637	2017/03/28 01:21:14	2017/03/28 06:21:14	18944
2017/03/28 02:03:49	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.11.1914	2017/03/28 02:03:49	2017/03/28 07:03:49	18944
2017/03/28 10:21:21	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.12.16840	2017/03/28 10:21:21	2017/03/28 15:21:21	19456
2017/03/28 23:12:31	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.13.39975	2017/03/28 23:12:31	2017/03/29 04:12:31	19968
2017/03/29 00:36:17	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	1.0.14.42488	2017/03/29 00:36:16	2017/03/29 05:36:16	19968
2017/03/29 00:57:49	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\AssemblyUtils\bin\Debug\WizardWrx.AssemblyUtils.dll	DLLServices	WizardWrx.AssemblyUtils	7.0.15.43134	2017/03/29 00:57:49	2017/03/29 05:57:49	19968
