Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2017/02/19 23:33:57	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.1.42418	2017/02/19 23:33:57	2017/02/20 05:33:57	20480
2017/02/19 23:38:36	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.2.42558	2017/02/19 23:38:36	2017/02/20 05:38:36	20480
2017/02/19 23:41:05	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.3.42632	2017/02/19 23:41:05	2017/02/20 05:41:05	20480
2017/02/19 23:43:13	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.4.42696	2017/02/19 23:43:13	2017/02/20 05:43:13	20480
2017/02/19 23:45:07	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.5.42753	2017/02/19 23:45:07	2017/02/20 05:45:07	20480
2017/02/19 23:47:46	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.6.42832	2017/02/19 23:47:45	2017/02/20 05:47:45	20480
2017/02/19 23:52:23	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.8.42971	2017/02/19 23:52:23	2017/02/20 05:52:23	20480
2017/02/19 23:53:13	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.9.42996	2017/02/19 23:53:12	2017/02/20 05:53:12	20480
2017/02/19 23:53:36	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.10.43008	2017/02/19 23:53:36	2017/02/20 05:53:36	20480
2017/02/19 23:54:08	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Common\bin\Debug\WizardWrx.Common.dll	DLLServices	WizardWrx.Common	7.0.11.43023	2017/02/19 23:54:07	2017/02/20 05:54:07	20480
