Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2017/02/21 10:06:13	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.1.18186	2017/02/21 10:06:13	2017/02/21 16:06:13	30208
2017/02/21 10:11:43	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.2.18351	2017/02/21 10:11:43	2017/02/21 16:11:43	30208
2017/02/21 11:14:53	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.7.20246	2017/02/21 11:14:52	2017/02/21 17:14:52	27648
2017/02/21 13:03:19	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.8.23499	2017/02/21 13:03:19	2017/02/21 19:03:19	27648
2017/02/22 00:37:50	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.9.1134	2017/02/22 00:37:49	2017/02/22 06:37:49	27648
2017/02/22 01:37:32	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.10.2925	2017/02/22 01:37:31	2017/02/22 07:37:31	27648
2017/02/23 23:56:58	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.11.43108	2017/02/23 23:56:58	2017/02/24 05:56:58	27648
2017/02/24 00:37:04	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.12.1111	2017/02/24 00:37:04	2017/02/24 06:37:04	27648
2017/02/24 13:22:18	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.13.24068	2017/02/24 13:22:17	2017/02/24 19:22:17	27648
2017/02/25 14:01:52	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConsoleStreams\bin\Debug\WizardWrx.ConsoleStreams.dll	DLLServices	WizardWrx.ConsoleStreams	7.0.14.25255	2017/02/25 14:01:51	2017/02/25 20:01:51	27648
