Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2017/02/19 23:59:28	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.8.43184	2017/02/19 23:59:28	2017/02/20 05:59:28	37888
2017/02/20 00:09:00	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.9.269	2017/02/20 00:09:00	2017/02/20 06:09:00	37888
2017/02/20 00:23:19	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.10.699	2017/02/20 00:23:19	2017/02/20 06:23:19	37888
2017/02/20 00:47:14	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.11.1417	2017/02/20 00:47:14	2017/02/20 06:47:14	54784
2017/02/20 00:55:48	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.12.1673	2017/02/20 00:55:48	2017/02/20 06:55:48	54784
2017/02/20 01:04:59	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.13.1949	2017/02/20 01:04:59	2017/02/20 07:04:59	54784
2017/02/20 01:29:32	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.14.2686	2017/02/20 01:29:32	2017/02/20 07:29:32	54784
2017/02/21 02:36:50	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.15.4704	2017/02/21 02:36:49	2017/02/21 08:36:49	56320
2017/02/21 09:36:05	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.16.17282	2017/02/21 09:36:04	2017/02/21 15:36:04	59904
2017/02/21 09:55:07	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.17.17853	2017/02/21 09:55:07	2017/02/21 15:55:07	59904
2017/02/21 10:22:00	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.18.18659	2017/02/21 10:22:00	2017/02/21 16:22:00	61440
2017/02/21 10:39:26	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.19.19182	2017/02/21 10:39:26	2017/02/21 16:39:26	61440
2017/02/21 10:40:18	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.20.19208	2017/02/21 10:40:18	2017/02/21 16:40:18	61440
2017/02/21 13:03:15	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.21.23497	2017/02/21 13:03:15	2017/02/21 19:03:15	61440
2017/02/24 13:22:14	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.22.24066	2017/02/24 13:22:13	2017/02/24 19:22:13	61440
2017/02/25 14:01:46	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.23.25252	2017/02/25 14:01:46	2017/02/25 20:01:46	61440
2017/02/25 23:34:39	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.24.42439	2017/02/25 23:34:39	2017/02/26 05:34:39	61440
2017/02/26 16:01:39	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.25.28849	2017/02/26 16:01:38	2017/02/26 22:01:38	61440
2017/02/26 20:56:37	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.26.37698	2017/02/26 20:56:36	2017/02/27 02:56:36	65536
2017/02/26 22:17:34	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.27.40126	2017/02/26 22:17:33	2017/02/27 04:17:33	65536
2017/02/26 22:53:22	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.28.41200	2017/02/26 22:53:22	2017/02/27 04:53:22	65536
2017/02/26 23:05:16	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.32.41557	2017/02/26 23:05:16	2017/02/27 05:05:16	65536
2017/02/26 23:41:50	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.33.42654	2017/02/26 23:41:50	2017/02/27 05:41:50	65536
2017/02/27 00:03:26	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.34.102	2017/02/27 00:03:25	2017/02/27 06:03:25	65536
2017/02/27 00:06:12	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.35.186	2017/02/27 00:06:12	2017/02/27 06:06:12	65536
2017/02/27 00:21:48	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\Core\bin\Debug\WizardWrx.Core.dll	DLLServices	WizardWrx.Core	7.0.36.653	2017/02/27 00:21:47	2017/02/27 06:21:47	65536
