Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2017/02/22 02:01:18	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	ConfigurationManagement	ConfigurationManagement	1.0.5.0	2017/02/22 02:01:18	2017/02/22 08:01:18	64000
2017/02/22 02:22:42	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	ConfigurationManagement	ConfigurationManagement	1.0.6.0	2017/02/22 02:22:41	2017/02/22 08:22:41	64000
2017/02/22 02:48:24	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	ConfigurationManagement	ConfigurationManagement	1.0.8.0	2017/02/22 02:48:23	2017/02/22 08:48:23	60928
2017/02/22 02:58:11	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	ConfigurationManagement	ConfigurationManagement	1.0.9.0	2017/02/22 02:58:11	2017/02/22 08:58:11	60928
2017/02/22 16:38:01	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	DLLServices	WizardWrx.ConfigurationManagement	7.0.11.29939	2017/02/22 16:38:00	2017/02/22 22:38:00	60928
2017/02/24 00:37:08	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	DLLServices	WizardWrx.ConfigurationManagement	7.0.13.1114	2017/02/24 00:37:08	2017/02/24 06:37:08	60928
2017/02/24 04:41:11	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	DLLServices	WizardWrx.ConfigurationManagement	7.0.14.8435	2017/02/24 04:41:11	2017/02/24 10:41:11	60928
2017/02/24 13:22:21	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.ConfigurationManagement.dll	DLLServices	WizardWrx.ConfigurationManagement	7.0.15.24070	2017/02/24 13:22:21	2017/02/24 19:22:21	60928
2017/02/24 14:47:08	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.16.26614	2017/02/24 14:47:08	2017/02/24 20:47:08	60928
2017/02/25 14:01:56	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.17.25258	2017/02/25 14:01:56	2017/02/25 20:01:56	60928
2017/02/25 19:47:30	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.18.35624	2017/02/25 19:47:30	2017/02/26 01:47:30	60928
2017/02/25 20:06:56	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.19.36207	2017/02/25 20:06:56	2017/02/26 02:06:56	60928
2017/02/25 20:51:19	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.20.37539	2017/02/25 20:51:19	2017/02/26 02:51:19	60928
2017/02/25 20:58:25	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.21.37752	2017/02/25 20:58:25	2017/02/26 02:58:25	60928
2017/02/25 21:22:44	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.22.38481	2017/02/25 21:22:44	2017/02/26 03:22:44	60928
2017/02/25 21:24:16	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.23.38527	2017/02/25 21:24:16	2017/02/26 03:24:16	60928
2017/02/25 21:37:12	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.24.38916	2017/02/25 21:37:12	2017/02/26 03:37:12	60928
2017/02/25 21:41:11	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.25.39035	2017/02/25 21:41:11	2017/02/26 03:41:11	60928
2017/02/25 21:43:46	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.26.39112	2017/02/25 21:43:46	2017/02/26 03:43:46	60928
2017/02/25 21:44:25	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.27.39132	2017/02/25 21:44:24	2017/02/26 03:44:24	60928
2017/02/25 21:47:26	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.28.39222	2017/02/25 21:47:26	2017/02/26 03:47:26	60928
2017/02/25 21:50:49	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.29.39324	2017/02/25 21:50:49	2017/02/26 03:50:49	60928
2017/02/25 21:51:58	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.30.39359	2017/02/25 21:51:58	2017/02/26 03:51:58	60928
2017/02/25 22:00:43	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.31.39621	2017/02/25 22:00:43	2017/02/26 04:00:43	60928
2017/02/25 22:07:15	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.32.39817	2017/02/25 22:07:15	2017/02/26 04:07:15	60928
2017/02/25 22:52:14	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\ConfigurationManagement\bin\Debug\WizardWrx.DLLConfigurationManager.dll	DLLServices	WizardWrx.DLLConfigurationManager	7.0.33.41166	2017/02/25 22:52:13	2017/02/26 04:52:13	60928
