Method Name	Class Tested
ArrayInfoExercises	ArrayInfo
ChopChop	StringTricks.Chop
CSVFileInfoExercises	CSVFileInfo
DisplayFormatsExercises	DisplayFormats
EnumerateStringResourcesInAssembly	WizardWrx.Common.Properties.Resources
FileIOFlagsExercises	FileIOFlags
ListInfoExercises	ListInfo
PathPositionsExercises	PathPositions
SpecialCharactersExercises	SpecialCharacters
UtilsExercises	Util
EventMessageCleanupTests	PrepareMessageForEventLog
SpecialStringExercises	SpecialStrings
CapitalizeWordsExercises	CapitalizeWords
EnumFromStringExercises	EnumFromString
Exercise_NameValueCollectionFromEmbbededList	EmbeddedTextFile.Readers.NameValueCollectionFromEmbbededList
