Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2017/03/19 17:55:17	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.2.30458	2017/03/19 17:55:17	2017/03/19 22:55:17	12288
2017/03/19 18:07:25	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.3.30822	2017/03/19 18:07:25	2017/03/19 23:07:25	12288
2017/03/19 19:21:23	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.4.33041	2017/03/19 19:21:23	2017/03/20 00:21:23	12288
2017/03/19 20:04:40	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.5.34339	2017/03/19 20:04:39	2017/03/20 01:04:39	12288
2017/03/19 20:10:04	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.6.34502	2017/03/19 20:10:04	2017/03/20 01:10:04	12288
2017/03/19 20:14:09	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.7.34624	2017/03/19 20:14:09	2017/03/20 01:14:09	12288
2017/03/19 22:59:01	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.8.39570	2017/03/19 22:59:01	2017/03/20 03:59:01	12288
2017/03/19 23:27:12	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.9.40416	2017/03/19 23:27:12	2017/03/20 04:27:12	12288
2017/03/19 23:44:38	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.10.40939	2017/03/19 23:44:38	2017/03/20 04:44:38	12288
2017/03/20 00:06:28	Post-Build - Record Assembly Info	C:\Users\DAVE\Documents\Visual Studio 2013\Projects\WizardWrx_Libs\DLLServices2\EmbeddedTextFile\bin\Debug\WizardWrx.EmbeddedTextFile.dll	DLLServices	EmbeddedResourceReader	7.0.11.41593	2017/03/20 00:06:27	2017/03/20 05:06:27	12288
