Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
07/14/2014 18:36:11	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.3.31685	07/14/2014 18:36:11	07/14/2014 23:36:11	12288
07/15/2014 01:25:59	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.4.779	07/15/2014 01:25:58	07/15/2014 06:25:58	12288
07/15/2014 03:40:43	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.5.4821	07/15/2014 03:40:42	07/15/2014 08:40:42	13824
07/15/2014 18:41:52	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.7.31856	07/15/2014 18:41:52	07/15/2014 23:41:52	15872
07/15/2014 22:11:16	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.8.38138	07/15/2014 22:11:16	07/16/2014 03:11:16	16896
07/15/2014 23:28:55	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.9.40467	07/15/2014 23:28:54	07/16/2014 04:28:54	17920
07/16/2014 02:15:58	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.10.2278	07/16/2014 02:15:58	07/16/2014 07:15:58	18432
07/16/2014 09:36:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.11.15482	07/16/2014 09:36:05	07/16/2014 14:36:05	18432
07/16/2014 10:11:17	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.12.16538	07/16/2014 10:11:17	07/16/2014 15:11:17	18432
07/16/2014 10:38:07	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.13.17343	07/16/2014 10:38:07	07/16/2014 15:38:07	18944
07/16/2014 10:47:18	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.14.17618	07/16/2014 10:47:17	07/16/2014 15:47:17	18944
07/16/2014 10:50:52	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.15.17726	07/16/2014 10:50:52	07/16/2014 15:50:52	18944
07/16/2014 12:39:53	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.16.20996	07/16/2014 12:39:52	07/16/2014 17:39:52	18944
07/16/2014 13:10:55	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.17.21927	07/16/2014 13:10:54	07/16/2014 18:10:54	18944
07/16/2014 13:15:46	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.18.22073	07/16/2014 13:15:46	07/16/2014 18:15:46	18944
07/16/2014 15:17:58	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.19.25738	07/16/2014 15:17:57	07/16/2014 20:17:57	18944
07/16/2014 15:52:47	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.20.26783	07/16/2014 15:52:47	07/16/2014 20:52:47	18944
07/16/2014 16:32:16	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.21.27968	07/16/2014 16:32:16	07/16/2014 21:32:16	18944
07/16/2014 17:05:36	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.22.28967	07/16/2014 17:05:35	07/16/2014 22:05:35	18944
07/16/2014 17:10:47	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.23.29123	07/16/2014 17:10:47	07/16/2014 22:10:47	18944
07/16/2014 17:18:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.24.29342	07/16/2014 17:18:05	07/16/2014 22:18:05	18944
07/16/2014 17:54:58	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.25.30448	07/16/2014 17:54:57	07/16/2014 22:54:57	18944
07/16/2014 17:55:38	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.26.30469	07/16/2014 17:55:38	07/16/2014 22:55:38	18944
07/16/2014 17:58:46	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.27.30563	07/16/2014 17:58:46	07/16/2014 22:58:46	18944
07/16/2014 19:04:15	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.28.32527	07/16/2014 19:04:14	07/17/2014 00:04:14	18944
07/16/2014 19:06:39	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.29.32599	07/16/2014 19:06:38	07/17/2014 00:06:38	18944
07/17/2014 23:57:41	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.30.41330	07/17/2014 23:57:41	07/18/2014 04:57:41	18944
07/18/2014 00:10:44	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.31.41721	07/18/2014 00:10:43	07/18/2014 05:10:43	18944
07/18/2014 00:21:29	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.32.42044	07/18/2014 00:21:28	07/18/2014 05:21:28	18944
07/18/2014 10:56:46	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.33.17902	07/18/2014 10:56:45	07/18/2014 15:56:45	18944
07/18/2014 11:00:50	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.34.18024	07/18/2014 11:00:50	07/18/2014 16:00:50	18944
07/18/2014 11:51:05	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.35.19532	07/18/2014 11:51:05	07/18/2014 16:51:05	20992
07/18/2014 11:56:45	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.36.19702	07/18/2014 11:56:45	07/18/2014 16:56:45	20992
07/18/2014 20:13:53	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.37.34616	07/18/2014 20:13:52	07/19/2014 01:13:52	21504
07/18/2014 22:03:43	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.38.37910	07/18/2014 22:03:42	07/19/2014 03:03:42	21504
07/18/2014 22:07:01	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\SharedUtl4\FormatStringEngine\bin\Debug\WizardWrx.FormatStringEngine.dll	Format String Parsing Engine	FormatStringParser	1.0.39.38010	07/18/2014 22:07:01	07/19/2014 03:07:01	21504
