Code	CharType	Subtype	CHAR	DESCRIPTION	HTML Name	Display	Comment
0	NonPrintable	NULL	[NUL]	null character		NUL/Null	
1	NonPrintable	Control	[SOH]	start of heading			
2	NonPrintable	Control	[STX]	start of text			
3	NonPrintable	Control	[ETX]	end of text			
4	NonPrintable	Control	[EOT]	end of transmission			
5	NonPrintable	Control	[ENQ]	enquiry			
6	NonPrintable	Control	[ACK]	acknowledgment			
7	NonPrintable	Control	[BEL]	audible bell		BEL (Alarm)	Causes the default PC beep.
8	NonPrintable	Control	[BS]	back space		BS (Backspace)	Technically defined as the non-destructive backspace, which moves the curser bacwards one space, leaving the character that occupies it
9	NonPrintable	White_Space	[HT]	horizontal tab		HT (Horizontal Tab)	
10	NonPrintable	Control	[LF]	line feed		CR (Carriage Return)	Unix Newline, on Windows, reset the cursor to left edge
11	NonPrintable	White_Space	[VT]	vertical tab		VT (Vertical Tab)	
12	NonPrintable	Control	[FF]	form feed		FF (Form Feed)	Eject page from printer, often used to signify page breaks in text files
13	NonPrintable	Control	[CR]	carriage return		LF (Line Feed)	Windows Line Feed, on Windows, scroll the output buffer up one line
14	NonPrintable	Control	[SO]	shift out			
15	NonPrintable	Control	[SI]	shift in			
16	NonPrintable	Control	[DLE]	data link escape			
17	NonPrintable	Control	[DC1]	device control 1			
18	NonPrintable	Control	[DC2]	device control 2			
19	NonPrintable	Control	[DC3]	device control 3			
20	NonPrintable	Control	[DC4]	device control 4			
21	NonPrintable	Control	[NAK]	negative acknowledge			
22	NonPrintable	Control	[SYN]	synchronous idle			
23	NonPrintable	Control	[ETB]	end of transmit block			
24	NonPrintable	Control	[CAN]	cancel			
25	NonPrintable	Control	[EM]	end of medium			
26	NonPrintable	Control	[SUB]	substitution		EOF (DOS End of File)	Modern files seldom use this character.
27	NonPrintable	Control	[ESC]	escape		ESC (Escape, for Printer)	Still used in printer control languages, such as Hewlett-Packard Printer Control Language (PCL)
28	NonPrintable	Control	[FS]	file separator			
29	NonPrintable	Control	[GS]	group separator			
30	NonPrintable	Control	[RS]	record separator			
31	NonPrintable	Control	[US]	unit separator			
32	Printable	White_Space				SP (Single Space)	
33	Printable	Punctuation				Exclamation Point (!)	
34	Printable	Symbol			&quot;	Double Quote (")	
35	Printable	Symbol				Hash or Pound (#)	
36	Printable	Symbol				Dollar ($)	
37	Printable	Symbol				Percent (%)	
38	Printable	Punctuation			&amp;	Ampersand (&)	
39	Printable	Punctuation				Single Quote	
40	Printable	Punctuation				Left Parenthesis [(]	
41	Printable	Symbol				Right Parenthesis [)]	
42	Printable	Symbol				Asterisk (*)	
43	Printable	Symbol				Plus (+)	
44	Printable	Punctuation				Comma (,)	
45	Printable	Punctuation				Minus/Hyphen (-)	
46	Printable	Punctuation				Period/Full Stop (.)	
47	Printable	Symbol				Forward Slash (/)	
48	Printable	Numeral				Numeral 0	
49	Printable	Numeral				Numeral 1	
50	Printable	Numeral				Numeral 2	
51	Printable	Numeral				Numeral 3	
52	Printable	Numeral				Numeral 4	
53	Printable	Numeral				Numeral 5	
54	Printable	Numeral				Numeral 6	
55	Printable	Numeral				Numeral 7	
56	Printable	Numeral				Numeral 8	
57	Printable	Numeral				Numeral 9	
58	Printable	Punctuation				Colon (:)	
59	Printable	Punctuation				Semicolon (;)	
60	Printable	Symbol			&lt;	Left Angle Bracket (>)	
61	Printable	Symbol				Equals (=)	
62	Printable	Symbol			&gt;	Right Angle Bracket (>)	
63	Printable	Punctuation				Question Mark (?)	
